Microinjection of LCChemicalEntity into the CA1 region of hippocampus improves LCChemicalEntity - induced LCOTHER in adult male LCOTHER .	3
Microinjection of LCChemicalEntity into the CA1 region of hippocampus improves LCOTHER - induced LCDiseaseOrPhenotypicFeature in adult male LCOTHER .	3
Microinjection of LCOTHER into the CA1 region of hippocampus improves LCChemicalEntity - induced LCDiseaseOrPhenotypicFeature in adult male LCOTHER .	2
The effect of LCChemicalEntity ( LCGeneOrGeneProduct - LCGeneOrGeneProduct antagonist ) on LCOTHER ( LCOTHER LCOTHER antagonist ) - induced LCOTHER in Morris water maze ( MWM ) was investigated .	3
The effect of LCChemicalEntity ( LCOTHER - LCOTHER antagonist ) on LCChemicalEntity ( LCOTHER LCOTHER antagonist ) - induced LCOTHER in Morris water maze ( MWM ) was investigated .	3
The effect of LCChemicalEntity ( LCOTHER - LCOTHER antagonist ) on LCOTHER ( LCOTHER LCOTHER antagonist ) - induced LCDiseaseOrPhenotypicFeature in Morris water maze ( MWM ) was investigated .	3
The effect of LCOTHER ( LCOTHER - LCOTHER antagonist ) on LCChemicalEntity ( LCGeneOrGeneProduct LCGeneOrGeneProduct antagonist ) - induced LCOTHER in Morris water maze ( MWM ) was investigated .	3
The effect of LCOTHER ( LCOTHER - LCOTHER antagonist ) on LCChemicalEntity ( LCOTHER LCOTHER antagonist ) - induced LCDiseaseOrPhenotypicFeature in Morris water maze ( MWM ) was investigated .	2
One week later , they received repeatedly vehicles ( saline , LCOTHER , saline + LCOTHER ) , LCOTHER ( 2 microg / 0 . 5 microl saline / side ; 30 min before training ) , LCChemicalEntity ( 2 , 4 and 8 microg / 0 . 5 microl LCOTHER / side ; 20 min before training ) and LCChemicalEntity ( 2 microg / 0 . 5 microl ; 30 min before LCOTHER injection ) + LCOTHER ( 4 microg / 0 . 5 microl LCOTHER ) through cannulae each day .	3
However , LCOTHER and LCChemicalEntity co - administration resulted in a significant decrease in escape latencies and traveled distances as compared to the LCChemicalEntity - treated LCOTHER .	3
Our findings show that microinjection of LCChemicalEntity into the CA1 region of the hippocampus improves the LCChemicalEntity - induced LCOTHER . LCOTHER : A LCOTHER LCOTHER LCOTHER LCOTHER candidate susceptibility gene? The chromosomal region 12q24 has been previously implicated by linkage studies of both LCOTHER LCOTHER and LCOTHER LCOTHER LCOTHER and we have reported two pedigrees segregating both LCOTHER LCOTHER and LCOTHER ' LCOTHER LCOTHER that show linkage across this region .	3
